iter	Passed	Remaining
341	706	1358
342	707	1354
343	708	1350
344	709	1347
345	710	1343
346	711	1339
347	712	1335
348	713	1331
349	714	1327
350	715	1323
351	717	1320
352	718	1317
353	720	1314
354	721	1311
355	722	1307
356	723	1303
357	724	1299
358	725	1296
359	726	1292
360	728	1288
361	729	1285
362	730	1281
363	731	1278
364	733	1275
365	734	1272
366	736	1269
367	737	1265
368	738	1262
369	739	1258
370	740	1255
371	741	1251
372	742	1248
373	744	1245
374	745	1242
375	747	1240
376	749	1238
377	750	1235
378	752	1232
379	753	1229
380	754	1225
381	755	1222
382	758	1221
383	759	1218
384	760	1215
385	762	1213
386	765	1211
387	766	1209
388	768	1206
389	769	1203
390	770	1200
391	772	1198
392	773	1194
393	775	1192
394	776	1189
395	778	1186
396	779	1183
397	780	1180
398	781	1177
399	782	1174
400	783	1170
401	784	1167
402	785	1164
403	787	1161
404	788	1157
405	789	1155
406	791	1152
407	792	1149
408	793	1146
409	794	1143
410	795	1140
411	796	1137
412	798	1134
413	800	1132
414	801	1130
415	803	1127
416	804	1125
417	806	1123
418	808	1121
419	810	1118
420	811	1116
421	813	1113
422	814	1111
423	816	1108
424	817	1105
425	818	1103
426	820	1101
427	822	1098
428	823	1095
429	824	1092
430	825	1089
431	826	1086
432	827	1083
433	828	1080
434	829	1077
435	830	1074
436	831	1071
437	833	1069
438	835	1067
439	836	1065
440	838	1062
441	839	1060
442	840	1057
443	842	1054
444	843	1052
445	845	1049
446	846	1047
447	848	1045
448	850	1044
449	852	1041
450	853	1039
451	855	1037
452	857	1034
453	858	1032
454	860	1030
